region,subregion,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,UnmanagedLandLeaf,LandLeaf,SRB_GCAME,Area_acres,Yield_TonperAcre,allocation,year.fillout,Root.logit.exponent,LandNode1.logit.exponent,LandNode2.logit.exponent,LandNode3.logit.exponent,unManagedLandValue,AgSupplySector,AgSupplySubsector,AgProductionTechnology,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight,harvests.per.year
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,OtherGrainSRB,OtherGrain,750900,1.15,3.04,1975,0,1,1.25,0.875,12872995,OtherGrain,OtherGrainSRB,OtherGrainSRB,0.86516325,1975,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,CornSRB,Corn,121300,2.32,0.49,1975,0,1,1.25,0.875,12872995,Corn,CornSRB,CornSRB,0.281916638,1975,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,SugarCropSRB,SugarCrop,94539,19.72,0.38,1975,0,1,1.25,0.875,12872995,SugarCrop,SugarCropSRB,SugarCropSRB,1.8647317,1975,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,WheatSRB,Wheat,864660,1.24,3.5,1975,0,1,1.25,0.875,12872995,Wheat,WheatSRB,WheatSRB,1.0764525,1975,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,Root_TuberSRB,Root_Tuber,321500,12.2,1.3,1975,0,1,1.25,0.875,12872995,Root_Tuber,Root_TuberSRB,Root_TuberSRB,3.921875,1975,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,MiscCropSRB,MiscCrop,236600,0.85,0.96,1975,0,1,1.25,0.875,12872995,MiscCrop,MiscCropSRB,MiscCropSRB,0.200962125,1975,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,OtherGrainSRB,OtherGrain,661000,1.68,2.67,1990,0,1,1.25,0.875,12872995,OtherGrain,OtherGrainSRB,OtherGrainSRB,1.108323,1990,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,CornSRB,Corn,97700,3.64,0.4,1990,0,1,1.25,0.875,12872995,Corn,CornSRB,CornSRB,0.355640766,1990,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,FodderHerbSRB,FodderHerb,892000,4.02,3.61,1990,0,1,1.25,0.875,12872995,FodderHerb,FodderHerbSRB,FodderHerbSRB,3.58263,1990,1,1,1
USA,SnakeRiverBasin,root,AgroForestLandSRB,AgroForest_NonPastureSRB,CropLandSRB,,SugarCropSRB,SugarCrop,186000,25.98,0.75,1990,0,1,1.25,0.875,12872995,SugarCrop,SugarCropSRB,SugarCropSRB,4.8317,1990,1,1,1
