INPUT_TABLE
Variable ID
LN3_DefaultShare

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,year,default.share
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2020,0.03
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2025,0.06
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2030,0.105
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2035,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2040,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2045,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2050,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2055,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2060,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2065,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2070,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2075,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2080,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2085,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2090,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2095,0.15
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2100,0.15
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2020,0.03
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2025,0.06
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2030,0.105
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2035,0.15
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2040,0.15
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,CropLand,2045,0.15
