INPUT_TABLE
Variable ID
LN2_Logit

region,LandAllocatorRoot,LandNode1,LandNode2,logit.year.fillout,logit.exponent
Africa_Eastern,root,AgroForestLand,AgroForest_NonPasture,1975,2.2916666666666665
Africa_Eastern,root,AgroForestLand,AllPastureLand,1975,2.75
Africa_Northern,root,AgroForestLand,AgroForest_NonPasture,1975,2.1875
Africa_Northern,root,AgroForestLand,AllPastureLand,1975,2.625
Africa_Southern,root,AgroForestLand,AgroForest_NonPasture,1975,2.272727272727273
Africa_Southern,root,AgroForestLand,AllPastureLand,1975,2.727272727272727
Africa_Western,root,AgroForestLand,AgroForest_NonPasture,1975,2.2222222222222223
Africa_Western,root,AgroForestLand,AllPastureLand,1975,2.6666666666666665
Argentina,root,AgroForestLand,AgroForest_NonPasture,1975,2.25
Argentina,root,AgroForestLand,AllPastureLand,1975,2.7
Australia_NZ,root,AgroForestLand,AgroForest_NonPasture,1975,2.3333333333333335
Australia_NZ,root,AgroForestLand,AllPastureLand,1975,2.8
Brazil,root,AgroForestLand,AgroForest_NonPasture,1975,2.361111111111111
Brazil,root,AgroForestLand,AllPastureLand,1975,2.8333333333333335
Canada,root,AgroForestLand,AgroForest_NonPasture,1975,2.2222222222222223
Canada,root,AgroForestLand,AllPastureLand,1975,2.6666666666666665
Central America and Caribbean,root,AgroForestLand,AgroForest_NonPasture,1975,2.5
Central America and Caribbean,root,AgroForestLand,AllPastureLand,1975,3
Central Asia,root,AgroForestLand,AgroForest_NonPasture,1975,2.25
Central Asia,root,AgroForestLand,AllPastureLand,1975,2.7
China,root,AgroForestLand,AgroForest_NonPasture,1975,2.3214285714285716
China,root,AgroForestLand,AllPastureLand,1975,2.7857142857142856
Colombia,root,AgroForestLand,AgroForest_NonPasture,1975,2.5
Colombia,root,AgroForestLand,AllPastureLand,1975,3
EU-12,root,AgroForestLand,AgroForest_NonPasture,1975,2.5
EU-12,root,AgroForestLand,AllPastureLand,1975,3
EU-15,root,AgroForestLand,AgroForest_NonPasture,1975,2.375
EU-15,root,AgroForestLand,AllPastureLand,1975,2.85
Europe_Eastern,root,AgroForestLand,AgroForest_NonPasture,1975,2.5
Europe_Eastern,root,AgroForestLand,AllPastureLand,1975,3
Europe_Non_EU,root,AgroForestLand,AgroForest_NonPasture,1975,2.361111111111111
Europe_Non_EU,root,AgroForestLand,AllPastureLand,1975,2.8333333333333335
European Free Trade Association,root,AgroForestLand,AgroForest_NonPasture,1975,2.25
European Free Trade Association,root,AgroForestLand,AllPastureLand,1975,2.7
India,root,AgroForestLand,AgroForest_NonPasture,1975,2.265625
India,root,AgroForestLand,AllPastureLand,1975,2.71875
Indonesia,root,AgroForestLand,AgroForest_NonPasture,1975,2.5
Indonesia,root,AgroForestLand,AllPastureLand,1975,3
Japan,root,AgroForestLand,AgroForest_NonPasture,1975,2.5
Japan,root,AgroForestLand,AllPastureLand,1975,3
Mexico,root,AgroForestLand,AgroForest_NonPasture,1975,2.2916666666666665
Mexico,root,AgroForestLand,AllPastureLand,1975,2.75
Middle East,root,AgroForestLand,AgroForest_NonPasture,1975,2.142857142857143
Middle East,root,AgroForestLand,AllPastureLand,1975,2.5714285714285716
Pakistan,root,AgroForestLand,AgroForest_NonPasture,1975,2.0833333333333335
Pakistan,root,AgroForestLand,AllPastureLand,1975,2.5
Russia,root,AgroForestLand,AgroForest_NonPasture,1975,2.2222222222222223
Russia,root,AgroForestLand,AllPastureLand,1975,2.6666666666666665
South Africa,root,AgroForestLand,AgroForest_NonPasture,1975,2.272727272727273
South Africa,root,AgroForestLand,AllPastureLand,1975,2.727272727272727
South America_Northern,root,AgroForestLand,AgroForest_NonPasture,1975,2.2916666666666665
South America_Northern,root,AgroForestLand,AllPastureLand,1975,2.75
South America_Southern,root,AgroForestLand,AgroForest_NonPasture,1975,2.2916666666666665
South America_Southern,root,AgroForestLand,AllPastureLand,1975,2.75
South Asia,root,AgroForestLand,AgroForest_NonPasture,1975,2.3214285714285716
South Asia,root,AgroForestLand,AllPastureLand,1975,2.7857142857142856
South Korea,root,AgroForestLand,AgroForest_NonPasture,1975,2.5
South Korea,root,AgroForestLand,AllPastureLand,1975,3
Southeast Asia,root,AgroForestLand,AgroForest_NonPasture,1975,2.5
Southeast Asia,root,AgroForestLand,AllPastureLand,1975,3
USA,root,AgroForestLand,AgroForest_NonPasture,1975,2.25
USA,root,AgroForestLand,AllPastureLand,1975,2.7
