# Source: USDA. Uses a blend of data from https://www.ers.usda.gov/data-products/farm-income-and-wealth-statistics.aspx and from https://data.ers.usda.gov/reports.aspx?ID=17882. ,,,
"# Notes: Data is incomplete, as USDA does not provide data for all crops and we've merged two separate USDA data sources. Subsidies are in 1975$ / billion km2",,,
# ,,,
region,GCAM_commodity,year,subsidy
USA,FiberCrop,1975,3948236.943
USA,Wheat,1975,278731.2007
USA,Rice,1975,0
USA,Corn,1975,670151.3167
USA,OilCrop,1975,0
USA,FiberCrop,1976,2360405.096
USA,Wheat,1976,455236.9314
USA,Rice,1976,8466.719888
USA,Corn,1976,438999.8446
USA,OilCrop,1976,0
USA,FiberCrop,1977,1505456.562
USA,Wheat,1977,2988172.816
USA,Rice,1977,13006623.84
USA,Corn,1977,387213.4976
USA,OilCrop,1977,0
USA,FiberCrop,1978,2144207.395
USA,Wheat,1978,3575111.625
USA,Rice,1978,185296.4453
USA,Corn,1978,2326132.717
USA,OilCrop,1978,0
USA,FiberCrop,1979,2792769.75
USA,Wheat,1979,352238.709
USA,Rice,1979,3967580.488
USA,Corn,1979,933597.0622
USA,OilCrop,1979,0
USA,FiberCrop,1980,2309115.602
USA,Wheat,1980,527893.4378
USA,Rice,1980,104488.0662
USA,Corn,1980,669440.985
USA,OilCrop,1980,0
USA,FiberCrop,1981,2603203.02
USA,Wheat,1981,1257198.24
USA,Rice,1981,74961.28344
USA,Corn,1981,369803.7952
USA,OilCrop,1981,0
USA,FiberCrop,1982,12567956.89
USA,Wheat,1982,1279467.794
USA,Rice,1982,7306970.686
USA,Corn,1982,1027548.732
USA,OilCrop,1982,0
USA,FiberCrop,1983,13261714.04
USA,Wheat,1983,2071085.155
USA,Rice,1983,18831889.95
USA,Corn,1983,2467357.669
USA,OilCrop,1983,0
USA,FiberCrop,1984,3757706.422
USA,Wheat,1984,3808758.3
USA,Rice,1984,9719242.977
USA,Corn,1984,488377.8165
USA,OilCrop,1984,0
USA,FiberCrop,1985,14885769.08
USA,Wheat,1985,4147367.727
USA,Rice,1985,31882870.06
USA,Corn,1985,3524012.837
USA,OilCrop,1985,0
USA,FiberCrop,1986,16606566.64
USA,Wheat,1986,7780020.118
USA,Rice,1986,24168021.42
USA,Corn,1986,6850363.505
USA,OilCrop,1986,0
USA,FiberCrop,1987,15809880.56
USA,Wheat,1987,6899260.841
USA,Rice,1987,26801131.44
USA,Corn,1987,12867408.69
USA,OilCrop,1987,0
USA,FiberCrop,1988,9834214.34
USA,Wheat,1988,4404277.962
USA,Rice,1988,20373560.03
USA,Corn,1988,11412216.71
USA,OilCrop,1988,0
USA,FiberCrop,1989,15190749.06
USA,Wheat,1989,1186698.524
USA,Rice,1989,30562003.21
USA,Corn,1989,4220370.997
USA,OilCrop,1989,0
USA,FiberCrop,1990,4431569.1
USA,Wheat,1990,3945254.539
USA,Rice,1990,19424305.73
USA,Corn,1990,3559282.887
USA,OilCrop,1990,0
USA,FiberCrop,1991,3582977.581
USA,Wheat,1991,4275469.839
USA,Rice,1991,22569726.99
USA,Corn,1991,3288151.564
USA,OilCrop,1991,0
USA,FiberCrop,1992,7534463.871
USA,Wheat,1992,2493531.602
USA,Rice,1992,18249299.7
USA,Corn,1992,2907384.35
USA,OilCrop,1992,0
USA,FiberCrop,1993,10449178.38
USA,Wheat,1993,3318238.072
USA,Rice,1993,24993181.8
USA,Corn,1993,6406506.66
USA,OilCrop,1993,0
USA,FiberCrop,1994,6619181.9
USA,Wheat,1994,1996758.418
USA,Rice,1994,10835445.63
USA,Corn,1994,1676998.82
USA,OilCrop,1994,0
USA,FiberCrop,1995,193850.1026
USA,Wheat,1995,1006825.749
USA,Rice,1995,26507836.15
USA,Corn,1995,3821919.121
USA,OilCrop,1995,0
USA,FiberCrop,1996,0
USA,Wheat,1996,1091209.902
USA,Rice,1996,6398273.648
USA,Corn,1996,1105178.419
USA,OilCrop,1996,395458.6529
USA,FiberCrop,1997,0
USA,Wheat,1997,1006325.822
USA,Rice,1997,0
USA,Corn,1997,1168783.381
