Ag Commodity Prices,,,,,,,,
scenario,region,subregion,sector,2010,2015,2020,2050,Units
BAU,USA,Alabama,cotton,0.999999988,0.960604437,0.92839317,0.855357871,Index (2010 = 1)
BAU,USA,Alabama,grain,0.999999979,0.978771833,0.962265581,0.949655025,Index (2010 = 1)
BAU,USA,Alabama,oilseed,0.999999959,0.97509054,0.955258818,0.926624577,Index (2010 = 1)
BAU,USA,Alabama,other,0.999999963,0.969727193,0.945071448,0.896217637,Index (2010 = 1)
BAU,USA,Alabama,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Alabama,sugar,1.000001169,0.98347872,0.971832777,0.992855512,Index (2010 = 1)
BAU,USA,Alabama,vegfruit,0.999999985,0.978179837,0.961263132,0.944385024,Index (2010 = 1)
BAU,USA,Arizona,cotton,1.000000007,0.962818436,0.946123512,0.990549565,Index (2010 = 1)
BAU,USA,Arizona,grain,1.000000019,0.982043183,0.972909099,1.022380245,Index (2010 = 1)
BAU,USA,Arizona,oilseed,0.999999997,0.926632791,0.868648022,0.677462105,Index (2010 = 1)
BAU,USA,Arizona,other,1.000000066,0.980988828,0.970826731,1.014993758,Index (2010 = 1)
BAU,USA,Arizona,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,vegfruit,1.000000011,0.979451556,0.967907523,1.001728548,Index (2010 = 1)
BAU,USA,Arkansas,cotton,0.999999988,0.960604437,0.92839317,0.855357871,Index (2010 = 1)
BAU,USA,Arkansas,grain,0.999999979,0.978771833,0.962265581,0.949655025,Index (2010 = 1)
BAU,USA,Arkansas,oilseed,0.999999959,0.97509054,0.955258818,0.926624577,Index (2010 = 1)
BAU,USA,Arkansas,other,0.999999963,0.969727193,0.945071448,0.896217637,Index (2010 = 1)
BAU,USA,Arkansas,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Arkansas,sugar,1.000001169,0.98347872,0.971832777,0.992855512,Index (2010 = 1)
BAU,USA,Arkansas,vegfruit,0.999999985,0.978179837,0.961263132,0.944385024,Index (2010 = 1)
BAU,USA,California,cotton,1.000000028,0.959671239,0.924734558,0.863123223,Index (2010 = 1)
BAU,USA,California,grain,1.000000027,0.979564572,0.963416198,0.945262765,Index (2010 = 1)
BAU,USA,California,oilseed,1.00000006,0.937183768,0.883683682,0.715775459,Index (2010 = 1)
BAU,USA,California,other,1.00000009,0.979274887,0.963164571,0.948812345,Index (2010 = 1)
BAU,USA,California,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,California,sugar,0.999994397,0.984841008,0.974223378,0.994589267,Index (2010 = 1)
BAU,USA,California,vegfruit,1.000000021,0.978104728,0.960875964,0.936432935,Index (2010 = 1)
BAU,USA,Colorado,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,grain,1.000000003,0.979488766,0.963759845,0.946304084,Index (2010 = 1)
BAU,USA,Colorado,oilseed,0.999999976,0.951569796,0.912604442,0.800621264,Index (2010 = 1)
BAU,USA,Colorado,other,1.000000014,0.981908865,0.969149263,0.976551795,Index (2010 = 1)
BAU,USA,Colorado,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,sugar,1.00000162,0.984614475,0.974105988,0.991395115,Index (2010 = 1)
BAU,USA,Colorado,vegfruit,0.999999999,0.979092948,0.96293681,0.934827491,Index (2010 = 1)
BAU,USA,Connecticut,cotton,0.999999988,0.960604437,0.92839317,0.855357871,Index (2010 = 1)
BAU,USA,Connecticut,grain,0.999999979,0.978771833,0.962265581,0.949655025,Index (2010 = 1)
BAU,USA,Connecticut,oilseed,0.999999959,0.97509054,0.955258818,0.926624577,Index (2010 = 1)
BAU,USA,Connecticut,other,0.999999963,0.969727193,0.945071448,0.896217637,Index (2010 = 1)
BAU,USA,Connecticut,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Connecticut,sugar,1.000001169,0.98347872,0.971832777,0.992855512,Index (2010 = 1)
BAU,USA,Connecticut,vegfruit,0.999999985,0.978179837,0.961263132,0.944385024,Index (2010 = 1)
BAU,USA,Delaware,cotton,0.999999988,0.960604437,0.92839317,0.855357871,Index (2010 = 1)
BAU,USA,Delaware,grain,0.999999979,0.978771833,0.962265581,0.949655025,Index (2010 = 1)
BAU,USA,Delaware,oilseed,0.999999959,0.97509054,0.955258818,0.926624577,Index (2010 = 1)
BAU,USA,Delaware,other,0.999999963,0.969727193,0.945071448,0.896217637,Index (2010 = 1)
BAU,USA,Delaware,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Delaware,sugar,1.000001169,0.98347872,0.971832777,0.992855512,Index (2010 = 1)
BAU,USA,Delaware,vegfruit,0.999999985,0.978179837,0.961263132,0.944385024,Index (2010 = 1)
BAU,USA,District of Columbia,cotton,0.999999988,0.960604437,0.92839317,0.855357871,Index (2010 = 1)
BAU,USA,District of Columbia,grain,0.999999979,0.978771833,0.962265581,0.949655025,Index (2010 = 1)
BAU,USA,District of Columbia,oilseed,0.999999959,0.97509054,0.955258818,0.926624577,Index (2010 = 1)
BAU,USA,District of Columbia,other,0.999999963,0.969727193,0.945071448,0.896217637,Index (2010 = 1)
BAU,USA,District of Columbia,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,District of Columbia,sugar,1.000001169,0.98347872,0.971832777,0.992855512,Index (2010 = 1)
BAU,USA,District of Columbia,vegfruit,0.999999985,0.978179837,0.961263132,0.944385024,Index (2010 = 1)
BAU,USA,Florida,cotton,0.999999988,0.960604437,0.92839317,0.855357871,Index (2010 = 1)
BAU,USA,Florida,grain,0.999999979,0.978771833,0.962265581,0.949655025,Index (2010 = 1)
BAU,USA,Florida,oilseed,0.999999959,0.97509054,0.955258818,0.926624577,Index (2010 = 1)
BAU,USA,Florida,other,0.999999963,0.969727193,0.945071448,0.896217637,Index (2010 = 1)
BAU,USA,Florida,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Florida,sugar,1.000001169,0.98347872,0.971832777,0.992855512,Index (2010 = 1)
